Book Title;Year;Series Title;Imprint;URL
Aerodynamics for Engineering Students (Sixth Edition);2013;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780080966328
Aerodynamics for Engineering Students (Seventh Edition);2015;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780081001943
Aircraft Structures for Engineering Students (Fifth Edition);2012;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780080969053
Aircraft Structures for Engineering Students (Sixth Edition);2017;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780081009147
Analyzing Social Media Networks with NodeXL (Second Edition);2020;;Morgan Kaufmann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128177563
Animal Behavior;2012;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123725813
Animal Behavior (Second Edition);2015;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128015322
Applied Groundwater Modeling;1991;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780120594856
Applied Groundwater Modeling (Second Edition);2015;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780120581030
Applied Pharmacology;2011;;Content Repository Only!;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9781437703108
The Art and Science of Digital Compositing (Second Edition);2008;The Morgan Kaufmann Series in Computer Graphics;Morgan Kaufmann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123706386
Artificial Intelligence: A New Synthesis;1998;;Morgan Kaufmann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9781558604674
Atmospheric Science (Second Edition);2006;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780127329512
Basic Medical Endocrinology (Fourth Edition);2009;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123739759
Basic Neurochemistry (Eighth Edition);2012;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123749475
Basic Science in Obstetrics and Gynaecology (Fourth Edition);2010;;Churchill Livingstone;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780443102813
Bioprocess Engineering Principles (Second Edition);2013;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780122208515
Biostatistics (Second Edition);2007;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123694928
